block_number,transaction_index,operation,transaction_hash,amount,current_supply
19542845,81,mint,0x0d98939f93e8e77435bf953196f0f877018121215b5d3799514dfb83ff26d2a0,100,5400
19542845,82,mint,0x5e0edaa169daa135d4b226ea431de94a27e6b75883a9e85cf932e8e728f25fbe,100,5500
19542847,69,mint,0xed71c93b1ceecff16e2749038e3bc7c670508e87d7be832ba965dce0707115e4,100,5600
19542847,70,mint,0x3f2cf1f1e7cc5f0d82ae135f81bd2209c7dac1c057f863e1188c473f15e70937,100,5700
19542847,71,mint,0x39cd7db74754ad3c7df2d381c6a8070effa53b27339299f8a8f9df9d502cc39a,100,5800
19542871,70,mint,0x6cbc7b7b3c8495aaedddf0604d11dd25974d89f4e924ba63f34702d50b7b6fcf,100,5900
19543302,63,mint,0x770ee8c0dc3d27dbcf331a98a5eb769b74d77d1d4132bb23ea9fb44ae396d351,100,6000
19543551,48,mint,0x4bc33670fe8ae0ab468e850832e60a93dba7584633d7c56ba98fb6b37449db47,100,6100
19543554,77,mint,0xe02021f880ffdc3fe817d99ad21f7e507d3a2093f8970407ebb373a9a3ff3b33,100,6200
19543554,78,mint,0x7e31ad2830c2177a66632802aa4304ccfad862973d56b54eae162c77f99cf0a2,100,6300
19543554,79,mint,0x30ad452b5704a71a86bbae6833626c2dfdaef36423af968fce5c5249aa50fd74,100,6400
19543713,120,mint,0xd63fef89c6a39944eb0123dceefb5a9f933c7d80487b4eb15438439acd087ca3,100,6500
19543717,64,mint,0x383a1c35be5803c0843748f8a4fc209848276adbcaf815fbf5cbced7fc40399e,100,6600
19543757,131,mint,0xba80a41fe27aa5211e97b273e89a71400bf6bfbeeadc33ce5ce5913b62476dbc,100,6700
19543878,43,mint,0x115da862f96baa80057ef5bb64fee1412f99df0029fc31d72df34cb95df3def7,100,6800
19543878,172,mint,0x56d282614809770c5afc2f0ca543cd20e09a54f5008dc82a053217ccba38ee81,100,6900
19543991,65,mint,0xc0e841bda2202a1716a48a6f7a91fb2e1f50ecb4eedc97fa962608e307555e7b,100,7000
19544007,79,mint,0xb9f9fea92431ba13b4dde96182e39920f6daf02cc69f2f38d563d07908967e8c,100,7100
19544204,43,mint,0x456cda36b1ab54a0230bfeeee6ab65fb1dac87e2998b6b377449f32a4c3f5340,100,7200
19544218,79,mint,0xe30c9dc62261a19fec57dcc36221d29d4277879edde506c493a7b26c28e6e0d7,100,7300
19544223,78,mint,0x9f74a8e65fade6eb7f66409d01fa82955c29be443874e5df4d75c63b62fa9799,100,7400
19544234,30,mint,0x94deae80805de78fccf0af46dbd8b0ca400b9e412e4943be7330fe7f6d6613b0,100,7500
19544257,42,mint,0x9b3cd1de8524355679b11c6e1b09389d6490221e2c53a6fa0e144882dde13cce,100,7600
19544263,225,mint,0x964e1afc2ae9fbf5184aecb0ded4c5ecfadc02946cf4970a7f36ea9b4f6281b0,100,7700
19544269,62,mint,0x278629dff824cbf436213c86719edb453f5fe5928fb3be550e59e4e361092b54,100,7800
19544275,71,mint,0x8cb111eb774604b5dd0dffb75c95996c5ee42d02d8259912f08591d5afefcf5a,100,7900
19544281,46,mint,0xb4a093c18d635ca65f300c6bcd4afaff8575951d3e916f8e6e44049026971760,100,8000
19544290,46,mint,0x91a601d218d363d765cac5fbae9fb55fa52c4c14fb31c68e9084e0aca97890c0,100,8100
19544297,40,mint,0x1624983614fe68f2127a151280b8950668949fd04a942c9ea26e463633232feb,100,8200
19544300,28,mint,0xb74cd93ddbabace084afb08badbb83e509f208e285b4134cf5d79351dc7876f6,100,8300
19544308,57,mint,0xe5fc6d2cc0ab3397827eb80d8e38d839485ce6e808c389d7f3a34c03999ad071,100,8400
19544312,79,mint,0x891152cc4fddaea5be2f71fc920839bf9e9c29b72d5d03fd09131b4f551887e8,100,8500
19544312,80,mint,0x00d14162db27db954c709729fb2b4e770c0b8d14fbe68197fa942e3c12daab51,100,8600
19544322,34,mint,0x472c54c030397dc2654c620ce23eac2ccec183bda6649bffd13a39284e43dc50,100,8700
19544333,86,mint,0x3806cba151e3cac5bd7106826dc24341ec91ea8dd2a70b90cdc0b576c6ea6881,100,8800
19544337,30,mint,0xf8870e1c639a7e9127afc346e979242d3515e1b3c8c6756a2e27692d322d9875,100,8900
19544338,78,mint,0x53281834ddd8d56f8de3689895b43a3713278f17f444ccc9099edf901ac4b1fc,100,9000
19544340,43,mint,0x7d8678908b9cd3f7ec7ad6f1744518354ad5b7bb99726d2b8a78aaa149a62226,100,9100
19544355,58,mint,0xc9b075bc5b13e98f7a25ba0851188b9dc6f42180cd1cc6a1d272ba3da93be468,100,9200
19544376,103,mint,0x4967b2a8b1776a398238f7d4589c9065a2da39650259668914ab0c6e59519aee,100,9300
19544381,51,mint,0x2769fe8f7d31a6faf4a5505d724666ea262c5c404fa7970d9e28efad382355a8,100,9400
19544385,88,mint,0xe8d7fada09d4611c043e6542f9e28e28635659b486ea82bcafc7c36edcb9d12a,100,9500
19544411,143,mint,0xe50a59d07492770003ac4d42e46bbe1b357654ca0e1fa1be4353e6e2558ab36a,100,9600
19544420,21,mint,0x5fc1be5adee3b7e4c988a9318a2b244efe3dc5d5d1480bdda03f873b07114c49,100,9700
19544437,41,mint,0x2cdf0f0e59f8e1f814aa7f2e71c3a9ca5f0870a2d84f308e9c64281e4c2b7e68,100,9800
19544451,92,mint,0x5bfefc3d759c32707f6ed7cabc10f2b26e7b9c365dd6c3548b5e868433a51df5,100,9900
19550106,69,mint,0x4e55ff610e3b293acff1759976fa2d11fd2144a5af31bbf5a14fcb8374155885,100,10000
19550469,56,mint,0xfb8ae8a853a1bd12d77cf67305a350b65fca318d2edd99a15322c65913d6abac,100,10100
19550470,57,mint,0x91e34d70c6b80bd217102db66f9c0708fc0431a827b2a9be27dc020e2b8fb080,100,10200
19550470,58,mint,0x8ea7a9467d3ee627b49d029aa7d9c222d012dc46554a97cdfae2de865114acef,100,10300
19550470,59,mint,0x1bf02dcb18d5676b1b56b2b0d9d65e140ed3b4a488666163236c56d3ded9f735,100,10400
19550470,60,mint,0xc18b3297643c59504e5cf06743c66d3dc732a1aa208c26d6a077fd9cfa7eee59,100,10500
19550470,61,mint,0x54d34a89d37b61015ea37365e98fd58f323f51ce8e9ae2ec4c295852f11326a2,100,10600
19550470,62,mint,0xd169538d96ea8f08d2371ccd45025e5873a17df8eb7f21e60015fdcabf4a0fde,100,10700
19550474,22,mint,0xc869ed0dfbfd07db597e01ba3099300ee2b19222b77e03ad552c09d60ca21f14,100,10800
19550474,103,mint,0x5f3f13c980bab15ff7bb4bc0118ca1a51c768b108ec9e13d658dc910fc197676,100,10900
19550477,86,mint,0x609b89f7c4370c7ee5480531bcfec5e46cbcdeef1999b5daf2ac837ed7bad4c5,100,11000
19550477,87,mint,0x7b9b663e453000cef3eba4b525a9775f0c459f0457f7dca2da29a305701d4ba1,100,11100
19550477,88,mint,0x48ac64978c00c73ea5b0280995dcc0ab9f7abe51f0e6f4780e2d200b7ce8633a,100,11200
19550477,89,mint,0x28603ecb2f945155c255e7767ec8ea123a9b5db30f27c39ffc30b41888eb2ee1,100,11300
19550477,90,mint,0x8c1400cbed57e5559d26b91de8fc797712456ddd508b67e12a4e976e7393489c,100,11400
19550477,91,mint,0x820b8131cceeb144f9317720aee13246972bc0475b818122f5f6c65323b315b0,100,11500
19550479,106,mint,0x6bdd24fafc3385b45eccab5358625882d276137747f5eee3680d5754f3e34e58,100,11600
19550479,107,mint,0x76928cfc76f55b134976b503a0dd11de868c82ee85bf9bbcf664dfc1ae5bc785,100,11700
19550479,108,mint,0x4b608c1332e2b4a177a9237fecb15ff001bb303697d47eaa65165c46f5e9b224,100,11800
19550479,109,mint,0xcba79704a296a88305b043a5145a033fa86fa80e07d9006d27db064ce052d6dd,100,11900
19550479,110,mint,0xdd656f0cc76f2216485930b2c31427461bc469d3bec66a941ab1cf2b8cd1af81,100,12000
19550479,111,mint,0x1473f6272bdb5a105e56c93209295d92fafc12def14801c2b65b5805497f47ea,100,12100
19550481,127,mint,0x013a9fcf36b947dc4432d52d6eb754f92ae60851cb953d1c1ee8d289e55248cf,100,12200
19550481,128,mint,0x9df7e62272fe7bd3b785ccd8129cab35c198ddf89f201f0d7f45ec8f48490cf5,100,12300
19550481,129,mint,0x832531534ea7b1c485f2dd09df1a91bc0f359f03e5a2b5c22a3f25019ec8ebff,100,12400
19550481,130,mint,0x69aa0d9757a18e32d9967860e0b3eb0110a2385efdce1763d08a73290c60957e,100,12500
