block_number,transaction_index,operation,transaction_hash,amount,current_supply
19534176,57,mint,0x034522d37fba6f5ebd5015658d4196148095c9995e3a005f572707cd11399ca5,10000,1422001
19534176,156,mint,0x327ecb95430c431b6b6704cbc8c10ecefb8795597b1585a58cd0a781bfa9fcd6,10000,1432001
19534177,43,mint,0xf219fcab9a4dd9415b23a82fdf4e6f5a4fd9f566ddb380dcee3151f03fb53b76,10000,1442001
19534182,75,mint,0x48891baab88d48c01dc945c27eee3b4ddf5f90943c3782e06b38ab1ad9fabfd8,10000,1452001
19534249,70,mint,0xfe945ee94378df46b85a41c997015b3b01552d86f4aeeb42219aee81ee78bd70,10000,1462001
19534301,128,mint,0xc334a6799ddd1923a31cedd3e414c2d5031ea1eadf0425394933a553bf675c09,10000,1472001
19534301,129,mint,0x91a996a6a0f245b3b094c185f7cd04b2a0b85203f559e023f06e4c8f72d7cc05,10000,1482001
19534336,156,mint,0x514c3144c55e84a144b0080d9391c173bc0075351de25e41cdcd19dacd06e468,10000,1492001
19534337,308,mint,0x3ae4944cc1e2338240300b97ecd25ee0b137e03709d776a08dd94ae49274a8ba,10000,1502001
19534337,309,mint,0x2d7584f4c0f7e05cc2f4c20000c5e5dbc234b972711db08f5c79b1c373bf7789,10000,1512001
19534348,86,mint,0xc3c007788ff600810d010ea0be97be5e84c4401bc67ac5e978e33788244fefef,10000,1522001
19534348,89,mint,0x4d39e0ff68dbf6caffa033fc5feb48f564446d011fea56e7e67601d5da7af829,10000,1532001
19534348,90,mint,0xe8f018a3a68572a740c91ef30f5793fd797e5c64011845587b44752f97b5a560,10000,1542001
19534349,76,mint,0xa344f48a4c0a459f711d40dd8084734be23a41aef8bdab1ec2a7541799fec630,10000,1552001
19534349,150,mint,0xfc63108562b3b394186039b70f5a41b21e00b80902441e4a68f19d0bf4afaae9,10000,1562001
19534356,141,mint,0x85f5ddbf4803369d366a14edf555f347ae532c6415a827085dc527ff5d0582a8,10000,1572001
19534359,81,mint,0xd10820c726611923dda070a614242bd8c8e0db34713d8d874f6be4897682f829,10000,1582001
19534359,82,mint,0x8577aab828a9f38497b123d73f446a2c07e8dfdda735c1e886e69df7d936f731,10000,1592001
19534362,121,mint,0xd06171d5c0f886f834eb75ea2092ebc4695c82739e467485999f21d70ee07d68,10000,1602001
19534362,122,mint,0x83fa5abebf9cd06cc68fc14b3ffbcf96a2cc81e7201c12a5c1eaced7dc75fb1b,10000,1612001
19534372,90,mint,0x835cd8be064889f315c93bf5974a2346cedd0a5c7232c068aa8019aa729739c0,10000,1622001
19534431,35,mint,0x3a5798b18d906dffb64cc9cebef130f31422440a00ad031fb5a78943b4965c7a,10000,1632001
19534438,104,mint,0x27d8fc990f616f752cfc55c0ebb3c54e9cf5ababaf0802134c251ac7631c4ab1,10000,1642001
19534438,105,mint,0xd24497dbe65fc85c8c0eb932f27453804c093f7487af3361ad9ed129ac134d6e,10000,1652001
19534441,92,mint,0x76ad7a4279e28ec396bdd93719ab6fbf8cfe09d36f17432498b24ce5fd968cf2,10000,1662001
19534441,93,mint,0x9dcf68b6e3c31812c7c5b5d43e0595652a5911cf4c13dcc4906821843a6e7c93,10000,1672001
19534448,44,mint,0x7446a4466a3fbafd8dbda1bb3c9628f412c1ac13971fb965642818a9d2999648,10000,1682001
19534483,134,mint,0x8227cd8372b70d934248cb3e99709f3cf622537e5ac8d6c9ba91c2f50492f377,10000,1692001
19534483,135,mint,0x802b46e9fe710072932d77cdd0c6c421d125590a68ba01627419b4572a53778d,10000,1702001
19534483,136,mint,0x852cfa2f419e9f624d8e7224526815e990f6e5e8ef659ef89b3d79cdbe50ab08,10000,1712001
19535267,79,mint,0xbdd5ddf3af79c588921b61d131c86d3c025e64dd6b3f4a5f909d96ff25c62de3,10000,1722001
19535270,45,mint,0x08ecd818d2a18ce9b2c8a1b4e5a3cdf44bfff482b413588590e116952eea637d,10000,1732001
19535276,69,mint,0x03b13b05624aea42b311e0146a6a204cf80de43e967ad3cbe5b7340078cc8432,10000,1742001
19535276,71,mint,0xbda659d50963679064867b98756ecc0b6ee29346689b0d6fec555fdc910509bb,10000,1752001
19535282,79,mint,0x4110e3fd0b0876407dbe2c1ec899605c4d9bd3889e8a2949ce46e4ceaefabeb1,10000,1762001
19535284,78,mint,0x85b6e33d8a2ef7da4224dd399e3e7255647ca3b61411f0ac3b7e10724b16251d,10000,1772001
19535289,59,mint,0xdc606e191c5b7118d5e4d5dc6de84b693f52be04f13a6d949b98409720ea6f8a,10000,1782001
19535296,59,mint,0xece09300c89ba082d0edcc72654faa0228febfc1887fbb60cc4767c5af81cad7,10000,1792001
19535304,65,mint,0x019baec2c0254acbfcb6e731a9fed4006fd8e1e6012304189d61469d8325a349,10000,1802001
19535308,52,mint,0x9ad255270078691250714a5cebd76108b29fc6d1ea333ed754930830fa7bfbb5,10000,1812001
19535312,95,mint,0xcbf8bf371bebcc6137290822b7f843ac4b1c9efaad87497843859887470056eb,10000,1822001
19535316,79,mint,0x7d4c148c16e5745358aceb8d7c6561000e8d2de0bb1a56783d50234478c0faa9,10000,1832001
19535316,80,mint,0x12fefaa5bb31a18447ceca2a3fb173bfbaa9f2163719f651f7508339fb5a59f2,10000,1842001
19535319,50,mint,0xa817514b120ed6c39b3f7edd50b8db682ad951ff1f0bc68437b51c0c29ec2f67,10000,1852001
19535320,91,mint,0xa1cb638d10f5979eaae3aaee3b4ed371c62f079d0eafdf1a2949efcd9ccc454b,10000,1862001
19535323,0,mint,0x22c98f2824a3953a9d7be747a34362435a856d1db949cffcb740476c9062282f,10000,1872001
19535323,1,mint,0xb6056fbc3d1920ca3da10674f695077bf18c1412ccf475124c4a9107f646455d,10000,1882001
19535326,29,mint,0xb735f872615be94a83cd80e27b84bf1f5dfd93938624c2df33347deca38056ff,10000,1892001
